res1=0.0649167 ; res2=-0.355688
res1=0.0857184 ; res2=0.0893811
res1=0.391953 ; res2=0.14608
res1=0.684089 ; res2=0.247136
res1=0.471444 ; res2=0.881872
res1=0.944555 ; res2=0.874049
res1=0.989641 ; res2=-0.355022
res1=0.988689 ; res2=0.502284
res1=0.111678 ; res2=0.326394
res1=0.0672808 ; res2=0.112505
res1=0.841116 ; res2=0.259618
res1=-0.0116076 ; res2=-0.433087
res1=0.0254735 ; res2=-0.390844
res1=0.863777 ; res2=0.829727
res1=0.742211 ; res2=0.254458
res1=0.00518708 ; res2=0.735141
res1=-0.0376349 ; res2=0.529966
res1=1.0671 ; res2=0.789912
res1=0.801373 ; res2=-0.252688
res1=0.889605 ; res2=0.23987
res1=0.575529 ; res2=0.332735
res1=0.928925 ; res2=0.799183
res1=1.02858 ; res2=0.525374
res1=0.704861 ; res2=0.469722
res1=1.10024 ; res2=0.697588
res1=1.07686 ; res2=0.752752
res1=1.04687 ; res2=0.607285
res1=0.715285 ; res2=0.557599
res1=0.542387 ; res2=0.919808
res1=1.01097 ; res2=0.473484
res1=0.712218 ; res2=-0.113005
res1=1.07635 ; res2=0.614595
res1=-0.0608575 ; res2=0.718593
res1=0.52039 ; res2=0.827592
res1=0.210019 ; res2=0.725263
res1=1.0296 ; res2=0.647161
res1=0.659965 ; res2=0.548101
res1=1.01043 ; res2=0.675958
res1=1.14682 ; res2=-0.561787
res1=1.05409 ; res2=0.845997
res1=0.961375 ; res2=0.489619
res1=0.963247 ; res2=0.813816
res1=0.714292 ; res2=0.403501
res1=1.04322 ; res2=0.757859
res1=0.372485 ; res2=0.730375
res1=0.441019 ; res2=0.787052
res1=0.918046 ; res2=0.526077
res1=1.08405 ; res2=0.66738
res1=0.573525 ; res2=-0.147397
res1=1.06824 ; res2=0.945489
res1=1.14427 ; res2=-0.565827
res1=0.426634 ; res2=-0.312979
res1=0.624268 ; res2=-0.086021
res1=0.678607 ; res2=-0.400702
res1=0.576537 ; res2=-0.227051
res1=0.889385 ; res2=0.212884
res1=0.280175 ; res2=-0.261249
res1=0.523536 ; res2=0.195188
res1=0.682733 ; res2=0.317165
res1=0.876646 ; res2=-0.084234
res1=0.653167 ; res2=0.391269
res1=0.0118714 ; res2=0.607816
res1=1.00988 ; res2=0.316174
res1=1.01671 ; res2=0.563553
res1=1.04606 ; res2=0.696567
res1=1.0498 ; res2=0.620786
res1=1.00725 ; res2=0.576717
res1=1.07075 ; res2=0.693035
res1=1.13129 ; res2=0.761467
res1=1.10102 ; res2=0.00415472
res1=0.357161 ; res2=0.926861
res1=0.71949 ; res2=0.160701
res1=0.838543 ; res2=0.157639
res1=0.319346 ; res2=-0.300242
res1=0.586757 ; res2=0.368721
res1=0.508826 ; res2=0.352974
res1=0.188639 ; res2=0.154689
res1=0.937444 ; res2=0.788253
res1=0.758705 ; res2=0.270982
res1=0.956604 ; res2=0.507117
res1=0.525654 ; res2=-0.253018
res1=0.948542 ; res2=0.456398
res1=0.785851 ; res2=0.520714
res1=1.06412 ; res2=0.103491
res1=0.72963 ; res2=0.875162
res1=0.036772 ; res2=0.0904826
res1=0.585849 ; res2=-0.0324845
res1=0.458201 ; res2=-0.395162
res1=0.356002 ; res2=-0.182964
res1=0.522715 ; res2=-0.390582
res1=0.732986 ; res2=-0.158565
